3758,0.0617676,-0.00854492,0.967041,-3.0899,0.572205,-0.831604,,,3.2661927759,4.7212249011,,3.1944063034
3753,0.0588379,-0.00415039,0.972412,-2.92969,0.587463,-0.495911,,,3.2730459453,4.7166570939,,3.2000135131
3748,0.0559082,-0.00561523,0.969482,-3.05176,0.671387,-0.671387,,,3.2794377276,4.7181809056,,3.1886312954
3744,0.0629883,-0.00830078,0.973877,-3.05939,0.62561,-0.663757,,,3.2646574879,4.7209122118,,3.1939594869
3740,0.0605469,-0.0102539,0.973389,-2.89917,0.526428,-0.709534,,,3.2695033625,4.722922817,,3.1995694214
3736,0.0576172,-0.0119629,0.973145,-3.05176,0.610352,-0.854492,,,3.2758979353,4.7246813905,,3.2133016492
3732,0.0522461,-0.00756836,0.973877,-2.95258,0.617981,-0.656128,,,3.289623307,4.7201601955,,3.181819862
3728,0.0671387,-0.0119629,0.971924,-2.87628,0.404358,-0.808716,,,3.2568899037,4.7246968315,,3.2050763656
3724,0.0551758,-0.0078125,0.96875,-2.94495,0.602722,-0.610352,,,3.2811398506,4.7204533217,,3.2128478574
3720,0.0522461,-0.00561523,0.969971,-2.92206,0.595093,-0.610352,,,3.2890381741,4.7181779857,,3.1812060306
3716,0.0671387,-0.00610352,0.969971,-2.97546,0.671387,-0.717163,,,3.2566602651,4.7186813741,,3.2023666956
3712,0.0563965,-0.00976563,0.967285,-2.84576,0.495911,-0.640869,,,3.277953209,4.7224845553,,3.2110262142
3708,0.0532227,-0.0112305,0.978027,-3.02124,0.640869,-0.694275,,,3.2875561439,4.7238712876,,3.1989596316
3704,0.0578613,-0.0114746,0.964111,-2.76184,0.671387,-0.717163,,,3.2741110392,4.7242901601,,3.2041320374
3700,0.0559082,-0.015625,0.974854,-2.95258,0.534058,-0.732422,,,3.2801918235,4.7284156492,,3.1969434324
3695,0.0568848,-0.0136719,0.966064,-3.12042,0.579834,-0.656128,,,3.2766283616,4.7265402037,,3.2022549078
3691,0.0561523,-0.00708008,0.967773,-3.0365,0.534058,-0.579834,,,3.2786070834,4.7197046977,,3.1925905928
3687,0.060791,-0.0114746,0.971436,-3.05939,0.62561,-0.839233,,,3.2687424302,4.724200429,,3.1985076698
3683,0.0583496,-0.0112305,0.96875,-2.76184,0.595093,-0.63324,,,3.2736398884,4.7239812353,,3.1986106927
3679,0.0581055,-0.0134277,0.973633,-3.0365,0.396729,-0.724792,,,3.2748486354,4.7261794423,,3.1962985976
3675,0.059082,-0.00952148,0.967529,-2.88391,0.648499,-0.610352,,,3.2718590661,4.7222296907,,3.2109962904
3671,0.0527344,-0.0100098,0.9646,-2.86102,0.541687,-0.534058,,,3.2868946947,4.7227657591,,3.1903704245
3667,0.0615234,-0.00805664,0.964844,-3.04413,0.411987,-0.762939,,,3.2664009654,4.7207389859,,3.191712707
3663,0.0610352,-0.00415039,0.963623,-2.9068,0.518799,-0.686646,,,3.2672312847,4.716696022,,3.2139655293
3659,0.0522461,-0.00952148,0.974121,-2.79236,0.556946,-0.640869,,,3.2896598557,4.7221631017,,3.2000279613
3655,0.0571289,-0.00708008,0.967041,-3.00598,0.740051,-0.541687,,,3.2761926784,4.7197102351,,3.1970280553
3651,0.0585938,-0.0107422,0.966064,-2.91443,0.648499,-0.747681,,,3.2727354539,4.7235080753,,3.1907443021
3647,0.0617676,-0.00341797,0.968994,-2.96021,0.640869,-0.75531,,,3.2664418094,4.7159163044,,3.1965483041
3643,0.0598145,-0.00976563,0.979492,-2.82288,0.724792,-0.740051,,,3.2718547997,4.7223587468,,3.1902740777
3639,0.0620117,-0.00463867,0.969727,-2.98309,0.62561,-0.663757,,,3.2660485271,4.7171724242,,3.2036365137
3635,0.0561523,-0.0065918,0.974365,-2.91443,0.656128,-0.534058,,,3.2795286054,4.7191541038,,3.1902776736
3630,0.0600586,-0.00976563,0.9646,-3.04413,0.579834,-0.595093,,,3.2693803455,4.7225126548,,3.1967874869
